millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
5571,-9,-5,-10,3,-29,-5,7,-10,2
5621,1,-1,-4,-24,-50,-11,22,2,2
5671,-1,-1,-3,0,-8,-4,0,-5,2
5722,1,1,6,11,14,-1,-6,-3,2
5773,0,-1,5,5,-1,0,-6,-1,2
5824,1,2,2,1,0,-1,-2,-1,0
5874,-2,-2,-9,-27,-15,-2,-2,0,0
5924,-1,-2,-2,1,-3,1,-2,-1,0
5975,0,2,9,14,21,-2,0,1,0
6026,-1,-2,1,-2,-11,0,-2,-1,0
6077,-1,-4,-4,-3,-6,-2,-1,-2,0
6128,-1,-3,-8,-4,6,-2,-1,-1,0
6179,-1,-1,-4,-6,4,0,2,0,0
6229,-1,-3,-6,-15,-4,-6,-2,-2,0
6281,-2,-3,-5,-1,0,-5,-4,1,0
6331,0,-2,-2,-6,-10,-5,0,3,0
6382,1,0,2,4,17,3,-12,8,0
6434,-2,-5,-17,-1,0,-5,-8,-4,0
6486,1,2,7,-23,34,11,30,-10,0
6537,5,3,6,-33,-35,13,-52,-60,0
6588,2,1,8,26,4,2,-3,27,0
6638,14,-1,-6,-18,-18,12,-30,27,2
6689,-28,2,3,35,24,-1,33,-3,2
6740,-21,-5,-4,-13,4,-2,10,-29,2
6791,5,-3,-9,-16,-20,9,-8,9,2
6842,-3,1,3,26,-7,-4,9,29,2
6893,2,0,-2,-16,-7,15,-5,-6,2
6943,-4,-1,2,9,36,14,27,-3,2
6995,-2,1,8,34,38,-3,-6,-4,2
7045,-2,3,17,72,62,3,20,-30,2
7095,3,-3,-2,18,21,14,-12,6,2
7145,0,-2,-2,53,-1,1,1,-3,2
7195,2,1,-3,-14,13,0,-39,21,2
7246,-2,-3,-4,-28,52,9,9,-6,2
7297,-1,-4,-5,-42,-23,11,59,2,2
7347,-6,-3,-1,-15,33,3,6,0,2
7398,1,-1,0,-17,-26,1,-40,-10,2
7449,2,3,7,17,40,16,-14,23,2
7500,-1,-1,-2,4,-7,-3,4,2,2
7552,-1,3,16,9,-9,-5,3,-4,2
7602,-1,-3,-6,-5,2,2,6,-2,2
7654,-1,-1,-3,1,-15,-4,-1,-2,0
7705,-1,-2,-4,-1,-1,-1,-1,-4,0
7755,-1,-1,-2,-5,1,0,1,0,0
7805,-2,-2,0,-9,-1,-2,0,2,0
7856,-1,-1,-7,-3,-1,-1,0,-1,0
7907,-1,-2,-4,0,-14,-2,-1,-4,0
7959,-1,-2,-14,-2,3,0,-2,2,0
8012,-3,0,1,-1,-3,-2,0,-2,0
8063,1,-1,6,1,2,0,-1,1,0
8115,0,-1,4,5,2,1,-1,-1,0
8168,-1,-1,-1,-7,-1,-2,0,0,0
8221,0,1,-3,-8,-1,1,1,1,0
8272,-1,1,-1,13,9,2,1,4,0
8323,-3,-2,-5,-13,0,-4,-3,-1,0
8374,0,-1,-6,-19,-4,-2,-2,-1,0
