3945,1.5,1.3,1.3,1.6,1.3,1.6,1.1,2.8,0
3996,1.4,1.6,1.5,1.7,1.2,1.5,1,1.8,0
4050,1.3,1.7,1.8,1.4,1,1.2,1.2,1.6,0
4102,1.3,1.8,2,1.4,1.1,1.2,1.1,1.3,0
4154,1.5,2.1,2.4,1.9,5.9,3,1,1,0
4205,1.5,2.3,2.9,1.8,5.9,4.2,1,0.8,0
4260,1.5,2.6,2.7,6,7.4,6.3,0.9,0.8,0
4315,1.8,2.9,4.3,16.3,20.1,13.8,1.2,0.8,0
4367,1.5,3,5.4,23.1,23.2,14.5,1.7,0.8,4
4418,1.5,3.5,6,23.7,24.5,16,2.5,1.1,4
4473,1.4,3.4,8.5,33,30.1,21.2,3.1,1.4,4
4526,1.4,3.7,9.2,34.8,35.4,25.6,3.4,1.8,4
4577,1.8,3.5,9.9,37.4,40.5,26.6,3.7,1.9,4
4632,1.7,3.4,9.8,40.6,46.4,29.6,4.4,2,4
4688,1.7,3.6,10.5,41.3,42.2,27.9,5,3.1,4
4741,1.8,3.6,10.1,46.4,50.3,26.9,5.5,3.2,4
4792,2.2,4,10.9,43.8,49.5,25.8,5.9,3.6,4
4845,1.9,3.7,9.8,35.9,37.2,19,6.2,3.6,4
4897,2.1,3.9,9.1,34.3,34.8,18.5,5.8,3.6,4
4953,2.2,3.4,8.7,35.4,37.5,20.3,5.2,3.4,4
5009,2.1,3.4,6.4,26,33.7,15.5,4.6,3.4,4
5066,2.2,3.3,5.6,24.2,28.8,12.2,4.2,3,4
5118,1.8,3.4,5.6,22.2,28.4,12.6,3.9,2.9,4
5169,2,3.9,6,26.6,30.4,11.6,3.2,2.9,4
5221,2.1,3.7,5.6,26.5,30.1,11.8,2.8,1.8,4
5278,2.2,3.7,5.7,22.1,23,11.8,2.6,1.9,4
5334,2.1,2.8,5,20.2,22.2,10.8,2.5,1.6,4
5386,2.5,2.8,4.6,17.9,22,11.2,2,1.7,0
5444,2.3,2.7,4.4,12.4,21.5,10.9,1.8,1.8,0
5501,2.2,2.7,4,10.8,17.6,7.6,1.7,1.6,0
5552,2.5,2.8,3.8,11,15.9,7,1.8,1.3,0
5603,2.4,2.6,3.8,11.2,15.5,6.1,1.8,1.3,0
5658,2.4,2.7,3.3,10.8,10.9,4.7,1.6,1.3,0
5711,2.3,2.1,2.8,3.2,2.9,2.6,1.5,1.4,0
5763,2.3,1.8,2,2.6,4.1,2.2,1.4,1.6,0
5816,2,1.5,1.9,2,4.1,2.1,1.3,1.5,0
5867,1.6,1.8,1.8,2.6,4.9,2,1.2,1.3,0
5922,1.1,1.8,1.7,3,5.4,1,1.1,1.2,0
